frame,time_s,ball,conf,table_x,table_y
135,4.007,yellow,0.799,0.1728,0.2001
136,4.037,white,0.84,0.7347,0.1541
136,4.037,red,0.813,0.7518,0.3511
136,4.037,yellow,0.798,0.1728,0.2001
137,4.067,white,0.86,0.7456,0.1654
137,4.067,red,0.816,0.7518,0.3511
137,4.067,yellow,0.785,0.1604,0.2139
138,4.096,white,0.86,0.7456,0.1654
138,4.096,red,0.816,0.7518,0.3511
138,4.096,yellow,0.785,0.1604,0.2139
139,4.126,white,0.828,0.756,0.1756
139,4.126,red,0.819,0.7518,0.3512
139,4.126,yellow,0.734,0.1471,0.2275
140,4.156,white,0.83,0.7662,0.1864
140,4.156,red,0.822,0.7518,0.3512
140,4.156,yellow,0.772,0.1344,0.2414
141,4.185,red,0.824,0.7518,0.3511
141,4.185,white,0.813,0.7765,0.1971
141,4.185,yellow,0.771,0.1215,0.2553
142,4.215,red,0.824,0.7518,0.3511
142,4.215,white,0.813,0.7765,0.1971
142,4.215,yellow,0.771,0.1215,0.2553
143,4.245,white,0.86,0.7866,0.2084
143,4.245,red,0.82,0.7518,0.3511
143,4.245,yellow,0.72,0.1084,0.2681
144,4.274,white,0.86,0.7866,0.2084
144,4.274,red,0.82,0.7518,0.3511
144,4.274,yellow,0.72,0.1084,0.2681
145,4.304,red,0.819,0.7518,0.3511
145,4.304,white,0.793,0.7974,0.2196
145,4.304,yellow,0.776,0.0962,0.2803
146,4.334,red,0.819,0.7518,0.3511
146,4.334,white,0.794,0.7974,0.2196
146,4.334,yellow,0.776,0.0962,0.2804
147,4.363,white,0.835,0.8075,0.2293
147,4.363,red,0.823,0.7518,0.3512
147,4.363,yellow,0.78,0.083,0.2941
148,4.393,white,0.834,0.8075,0.2293
148,4.393,red,0.823,0.7518,0.3512
148,4.393,yellow,0.779,0.083,0.2941
149,4.423,red,0.825,0.7518,0.3513
149,4.423,white,0.786,0.8182,0.2403
149,4.423,yellow,0.73,0.07,0.3068
150,4.452,white,0.863,0.8279,0.2515
150,4.452,red,0.822,0.7518,0.3513
150,4.452,yellow,0.775,0.0575,0.3204
151,4.482,white,0.863,0.8279,0.2514
151,4.482,red,0.822,0.7518,0.3513
151,4.482,yellow,0.775,0.0575,0.3205
152,4.512,red,0.819,0.7524,0.351
152,4.512,white,0.813,0.8384,0.2625
152,4.512,yellow,0.765,0.0446,0.3326
153,4.541,red,0.819,0.7518,0.3512
153,4.541,white,0.813,0.8384,0.2625
153,4.541,yellow,0.764,0.0446,0.3326
154,4.571,white,0.856,0.8484,0.2726
154,4.571,red,0.818,0.7518,0.3511
154,4.571,yellow,0.74,0.0326,0.3465
155,4.601,white,0.857,0.8484,0.2727
155,4.601,red,0.818,0.7518,0.3511
155,4.601,yellow,0.739,0.0326,0.3465
156,4.631,red,0.817,0.7518,0.3512
156,4.631,white,0.814,0.8589,0.2834
156,4.631,yellow,0.775,0.0329,0.3633
157,4.66,red,0.817,0.7518,0.3512
157,4.66,white,0.813,0.8589,0.2834
157,4.66,yellow,0.776,0.0329,0.3633
158,4.69,white,0.862,0.8689,0.2947
158,4.69,red,0.815,0.7518,0.3512
158,4.69,yellow,0.748,0.0423,0.3808
159,4.72,white,0.862,0.8689,0.2947
159,4.72,red,0.815,0.7518,0.3511
159,4.72,yellow,0.748,0.0423,0.3808
160,4.749,yellow,0.824,0.053,0.398
160,4.749,red,0.812,0.7518,0.3511
160,4.749,white,0.788,0.8791,0.3038
161,4.779,white,0.85,0.8894,0.315
161,4.779,red,0.81,0.7518,0.3511
161,4.779,yellow,0.76,0.0622,0.4161
162,4.809,white,0.85,0.8894,0.315
162,4.809,red,0.81,0.7518,0.351
162,4.809,yellow,0.759,0.0622,0.416
163,4.838,white,0.83,0.8993,0.3264
163,4.838,yellow,0.819,0.072,0.4327
163,4.838,red,0.811,0.7518,0.3511
164,4.868,white,0.831,0.8993,0.3264
164,4.868,yellow,0.819,0.072,0.4326
164,4.868,red,0.811,0.7518,0.3511
165,4.898,white,0.856,0.9092,0.3374
165,4.898,red,0.809,0.7518,0.3511
165,4.898,yellow,0.76,0.0797,0.4512
166,4.927,white,0.87,0.9199,0.3478
166,4.927,red,0.806,0.7518,0.351
166,4.927,yellow,0.751,0.0883,0.4678
167,4.957,white,0.87,0.9198,0.3478
167,4.957,red,0.806,0.7518,0.3511
167,4.957,yellow,0.751,0.0883,0.4678
168,4.987,white,0.826,0.9297,0.357
168,4.987,red,0.807,0.7518,0.3511
168,4.987,yellow,0.737,0.0957,0.4853
169,5.016,white,0.826,0.9297,0.357
169,5.016,red,0.807,0.7518,0.3511
169,5.016,yellow,0.737,0.0957,0.4853
170,5.046,white,0.871,0.9395,0.3687
170,5.046,red,0.805,0.7518,0.3511
170,5.046,yellow,0.733,0.1034,0.5018
171,5.076,white,0.844,0.9499,0.3784
171,5.076,yellow,0.811,0.1101,0.5181
171,5.076,red,0.806,0.7518,0.3511
172,5.105,white,0.845,0.9499,0.3784
172,5.105,yellow,0.811,0.1101,0.5181
172,5.105,red,0.806,0.7518,0.3511
173,5.135,white,0.87,0.96,0.3897
173,5.135,red,0.806,0.7518,0.3512
173,5.135,yellow,0.771,0.117,0.5361
174,5.165,white,0.87,0.96,0.3898
174,5.165,red,0.806,0.7518,0.3512
174,5.165,yellow,0.771,0.117,0.5361
175,5.194,white,0.87,0.9697,0.4002
175,5.194,red,0.805,0.7518,0.3512
175,5.194,yellow,0.778,0.1245,0.5519
176,5.224,white,0.87,0.9697,0.4002
176,5.224,red,0.805,0.7518,0.3512
176,5.224,yellow,0.778,0.1245,0.5519
177,5.254,white,0.846,0.9691,0.4118
177,5.254,yellow,0.807,0.1306,0.5691
177,5.254,red,0.806,0.7518,0.3512
178,5.284,white,0.846,0.9691,0.4118
178,5.284,yellow,0.807,0.1306,0.5691
178,5.284,red,0.806,0.7518,0.3512
179,5.313,white,0.863,0.9614,0.4243
179,5.313,red,0.807,0.7518,0.3512
179,5.313,yellow,0.797,0.1371,0.5859
180,5.343,white,0.863,0.9614,0.4243
180,5.343,red,0.807,0.7518,0.3512
180,5.343,yellow,0.796,0.1371,0.5859
181,5.373,white,0.821,0.9542,0.4353
181,5.373,red,0.807,0.7518,0.3511
181,5.373,yellow,0.765,0.1439,0.6026
182,5.402,white,0.865,0.947,0.4476
182,5.402,yellow,0.841,0.1508,0.6195
182,5.402,red,0.806,0.7518,0.3511
183,5.432,white,0.865,0.947,0.4476
183,5.432,yellow,0.841,0.1508,0.6195
183,5.432,red,0.806,0.7518,0.3511
184,5.462,white,0.883,0.9399,0.4589
184,5.462,red,0.806,0.7518,0.3511
184,5.462,yellow,0.757,0.1577,0.6366
185,5.491,white,0.883,0.9399,0.4589
185,5.491,red,0.806,0.7518,0.3511
185,5.491,yellow,0.757,0.1577,0.6366
186,5.521,white,0.816,0.9343,0.4712
186,5.521,red,0.806,0.7518,0.351
186,5.521,yellow,0.75,0.1644,0.6522
187,5.551,white,0.815,0.9343,0.4712
187,5.551,red,0.806,0.7518,0.351
187,5.551,yellow,0.75,0.1644,0.6523
188,5.58,white,0.854,0.9281,0.4838
188,5.58,red,0.804,0.7518,0.351
188,5.58,yellow,0.776,0.1704,0.6694
189,5.61,white,0.869,0.9224,0.4952
189,5.61,red,0.804,0.7518,0.351
189,5.61,yellow,0.796,0.1772,0.686
190,5.64,white,0.869,0.9224,0.4952
190,5.64,red,0.804,0.7518,0.351
190,5.64,yellow,0.797,0.1772,0.686
191,5.669,white,0.838,0.9172,0.5064
191,5.669,red,0.805,0.7518,0.351
191,5.669,yellow,0.772,0.1845,0.7018
192,5.699,white,0.836,0.9116,0.5186
